re im logn
4.266000 -3.324107 0.00000
4.302000 -3.324107 0.00000
4.338000 -3.324107 0.00000
4.374000 -3.324107 0.00000
4.410000 -3.324107 0.00000
4.446000 -3.324107 0.00000
4.482000 -3.324107 0.00000
4.518000 -3.324107 0.00000
4.554000 -3.324107 0.00000
4.590000 -3.324107 0.00000
4.626000 -3.324107 0.00000
4.662000 -3.324107 0.00000
4.698000 -3.324107 0.00000
4.734000 -3.324107 0.00000
4.770000 -3.324107 0.00000
4.806000 -3.324107 0.00000
4.842000 -3.324107 0.00000
4.878000 -3.324107 0.00000
4.914000 -3.324107 0.00000
4.950000 -3.324107 0.00000
4.986000 -3.324107 0.00000
5.022000 -3.324107 0.00000
5.058000 -3.324107 0.00000
5.094000 -3.324107 0.00000
5.130000 -3.324107 0.00000
5.166000 -3.324107 0.00000
5.202000 -3.324107 0.00000
5.238000 -3.324107 0.00000
5.274000 -3.324107 0.00000
5.310000 -3.324107 0.00000
5.346000 -3.324107 0.00000
5.382000 -3.324107 0.00000
0.018000 -3.293750 0.00000
0.054000 -3.293750 0.00000
0.090000 -3.293750 0.00000
0.126000 -3.293750 0.00000
0.162000 -3.293750 0.00000
0.198000 -3.293750 0.00000
0.234000 -3.293750 1.97772
0.270000 -3.293750 0.00000
0.306000 -3.293750 0.00000
0.342000 -3.293750 0.00000
0.378000 -3.293750 0.00000
0.414000 -3.293750 0.00000
0.450000 -3.293750 0.00000
0.486000 -3.293750 0.00000
0.522000 -3.293750 0.00000
0.558000 -3.293750 0.00000
0.594000 -3.293750 0.00000
0.630000 -3.293750 0.00000
0.666000 -3.293750 0.00000
0.702000 -3.293750 0.00000
0.738000 -3.293750 0.00000
0.774000 -3.293750 0.00000
0.810000 -3.293750 0.00000
0.846000 -3.293750 0.00000
0.882000 -3.293750 0.00000
0.918000 -3.293750 0.00000
0.954000 -3.293750 0.00000
0.990000 -3.293750 0.00000
1.026000 -3.293750 0.00000
1.062000 -3.293750 0.00000
1.098000 -3.293750 0.00000
1.134000 -3.293750 0.00000
1.170000 -3.293750 0.00000
1.206000 -3.293750 0.00000
1.242000 -3.293750 0.00000
1.278000 -3.293750 0.00000
1.314000 -3.293750 0.00000
1.350000 -3.293750 0.00000
1.386000 -3.293750 0.00000
1.422000 -3.293750 0.00000
1.458000 -3.293750 0.00000
1.494000 -3.293750 0.00000
1.530000 -3.293750 0.00000
1.566000 -3.293750 0.00000
1.602000 -3.293750 0.00000
1.638000 -3.293750 0.00000
1.674000 -3.293750 0.00000
1.710000 -3.293750 0.00000
1.746000 -3.293750 0.00000
1.782000 -3.293750 0.00000
1.818000 -3.293750 0.00000
1.854000 -3.293750 0.00000
1.890000 -3.293750 0.00000
