re im logsig
2.9094126156 -1.6930379311 -6.044540
2.9194126156 -1.6930379311 -6.027070
2.9294126156 -1.6930379311 -6.009230
2.9394126156 -1.6930379311 -5.991040
2.9494126156 -1.6930379311 -5.972560
2.9594126156 -1.6930379311 -5.953800
2.9694126156 -1.6930379311 -5.934810
2.9794126156 -1.6930379311 -5.915600
2.9894126156 -1.6930379311 -5.896210
2.9994126156 -1.6930379311 -5.876670
3.0094126156 -1.6930379311 -5.856990
3.0194126156 -1.6930379311 -5.837200
3.0294126156 -1.6930379311 -5.817330
3.0394126156 -1.6930379311 -5.797380
3.0494126156 -1.6930379311 -5.777380
3.0594126156 -1.6930379311 -5.757340
2.4594126156 -1.6830379311 -6.130740
2.4694126156 -1.6830379311 -6.140970
2.4794126156 -1.6830379311 -6.150900
2.4894126156 -1.6830379311 -6.160520
2.4994126156 -1.6830379311 -6.169810
2.5094126156 -1.6830379311 -6.178740
2.5194126156 -1.6830379311 -6.187310
2.5294126156 -1.6830379311 -6.195490
2.5394126156 -1.6830379311 -6.203260
2.5494126156 -1.6830379311 -6.210610
2.5594126156 -1.6830379311 -6.217500
2.5694126156 -1.6830379311 -6.223930
2.5794126156 -1.6830379311 -6.229870
2.5894126156 -1.6830379311 -6.235300
2.5994126156 -1.6830379311 -6.240200
2.6094126156 -1.6830379311 -6.244550
2.6194126156 -1.6830379311 -6.248320
2.6294126156 -1.6830379311 -6.251500
2.6394126156 -1.6830379311 -6.254050
2.6494126156 -1.6830379311 -6.255960
2.6594126156 -1.6830379311 -6.257200
2.6694126156 -1.6830379311 -6.257740
2.6794126156 -1.6830379311 -6.257570
2.6894126156 -1.6830379311 -6.256670
2.6994126156 -1.6830379311 -6.255000
2.7094126156 -1.6830379311 -6.252550
2.7194126156 -1.6830379311 -6.249300
2.7294126156 -1.6830379311 -6.245220
2.7394126156 -1.6830379311 -6.240320
2.7494126156 -1.6830379311 -6.234570
2.7594126156 -1.6830379311 -6.227970
2.7694126156 -1.6830379311 -6.220520
2.7794126156 -1.6830379311 -6.212220
2.7894126156 -1.6830379311 -6.203070
2.7994126156 -1.6830379311 -6.193090
2.8094126156 -1.6830379311 -6.182300
2.8194126156 -1.6830379311 -6.170710
2.8294126156 -1.6830379311 -6.158350
2.8394126156 -1.6830379311 -6.145250
2.8494126156 -1.6830379311 -6.131450
2.8594126156 -1.6830379311 -6.116970
2.8694126156 -1.6830379311 -6.101860
2.8794126156 -1.6830379311 -6.086170
2.8894126156 -1.6830379311 -6.069920
2.8994126156 -1.6830379311 -6.053160
2.9094126156 -1.6830379311 -6.035940
2.9194126156 -1.6830379311 -6.018290
2.9294126156 -1.6830379311 -6.000250
2.9394126156 -1.6830379311 -5.981860
2.9494126156 -1.6830379311 -5.963170
2.9594126156 -1.6830379311 -5.944200
2.9694126156 -1.6830379311 -5.924990
2.9794126156 -1.6830379311 -5.905560
2.9894126156 -1.6830379311 -5.885960
2.9994126156 -1.6830379311 -5.866200
3.0094126156 -1.6830379311 -5.846300
3.0194126156 -1.6830379311 -5.826310
3.0294126156 -1.6830379311 -5.806220
3.0394126156 -1.6830379311 -5.786080
3.0494126156 -1.6830379311 -5.765880
3.0594126156 -1.6830379311 -5.745650
2.4594126156 -1.6730379311 -6.108950
2.4694126156 -1.6730379311 -6.119350
2.4794126156 -1.6730379311 -6.129480
2.4894126156 -1.6730379311 -6.139310
2.4994126156 -1.6730379311 -6.148840
2.5094126156 -1.6730379311 -6.158040
2.5194126156 -1.6730379311 -6.166890
2.5294126156 -1.6730379311 -6.175390
2.5394126156 -1.6730379311 -6.183500
2.5494126156 -1.6730379311 -6.191210
2.5594126156 -1.6730379311 -6.198510
2.5694126156 -1.6730379311 -6.205360
2.5794126156 -1.6730379311 -6.211750
2.5894126156 -1.6730379311 -6.217650
