re im
2.96941262 -1.37266731
2.96963506 -1.37303793
2.97527088 -1.38303793
2.97941262 -1.39097755
2.98050316 -1.39303793
2.98547000 -1.40303793
2.98941262 -1.41154006
2.99012242 -1.41303793
2.99459459 -1.42303793
2.99881908 -1.43303793
2.99941262 -1.43451904
3.00292577 -1.44303793
3.00687292 -1.45303793
3.00941262 -1.45972354
3.01070960 -1.46303793
3.01448898 -1.47303793
3.01818539 -1.48303793
3.01941262 -1.48643267
3.02187062 -1.49303793
3.02554381 -1.50303793
3.02921772 -1.51303793
3.02941262 -1.51357296
3.03295212 -1.52303793
3.03672582 -1.53303793
3.03941262 -1.54007060
3.04057337 -1.54303793
3.04452168 -1.55303793
3.04856310 -1.56303793
3.04941262 -1.56510604
3.05273701 -1.57303793
3.05703910 -1.58303793
3.05941262 -1.58841964
nan nan
2.45941262 -1.32646418
2.46410440 -1.32303793
2.46941262 -1.31920475
2.47791046 -1.31303793
2.47941262 -1.31196080
2.48941262 -1.30476198
2.49179807 -1.30303793
2.49941262 -1.29761072
2.50583616 -1.29303793
2.50941262 -1.29052771
2.51941262 -1.28352549
2.52010984 -1.28303793
2.52941262 -1.27662995
2.53467494 -1.27303793
2.53941262 -1.26985299
2.54941262 -1.26320601
2.54966767 -1.26303793
2.55941262 -1.25671322
2.56518512 -1.25303793
2.56941262 -1.25038330
2.57941262 -1.24423855
2.58140876 -1.24303793
2.58941262 -1.23827905
2.59852019 -1.23303793
2.59941262 -1.23252923
2.60941262 -1.22698499
2.61683618 -1.22303793
2.61941262 -1.22167568
2.62941262 -1.21658651
2.63675098 -1.21303793
2.63941262 -1.21175086
2.64941262 -1.20714312
2.65891720 -1.20303793
2.65941262 -1.20282264
2.66941262 -1.19871188
2.67941262 -1.19490465
2.68471574 -1.19303793
2.68941262 -1.19135842
2.69941262 -1.18807584
2.70941262 -1.18510192
2.71717465 -1.18303793
2.71941262 -1.18242654
2.72941262 -1.18001457
2.73941262 -1.17792690
2.74941262 -1.17617702
2.75941262 -1.17476808
2.76941262 -1.17371027
2.77912385 -1.17303793
2.77941262 -1.17301693
2.78941262 -1.17268582
2.79941262 -1.17276466
2.80484119 -1.17303793
2.80941262 -1.17326206
2.81941262 -1.17418928
2.82941262 -1.17557574
2.83941262 -1.17745911
2.84941262 -1.17987388
2.85941262 -1.18285342
2.85993998 -1.18303793
2.86941262 -1.18630100
2.87941262 -1.19036950
2.88511989 -1.19303793
2.88941262 -1.19502569
2.89941262 -1.20027517
2.90410847 -1.20303793
2.90941262 -1.20614874
2.91941262 -1.21268609
2.91990769 -1.21303793
2.92941262 -1.21981191
