re im
1.89194484 -0.32500000
1.89386783 -0.33500000
1.89500000 -0.34287812
1.89532239 -0.34500000
1.89635963 -0.35500000
1.89694499 -0.36500000
1.89709891 -0.37500000
1.89683796 -0.38500000
1.89617571 -0.39500000
1.89512144 -0.40500000
1.89500000 -0.40587671
1.89373504 -0.41500000
1.89198121 -0.42500000
1.88987145 -0.43500000
1.88742077 -0.44500000
1.88500000 -0.45382840
1.88466834 -0.45500000
1.88164671 -0.46500000
1.87835556 -0.47500000
1.87500000 -0.48455360
1.87483496 -0.48500000
1.87112320 -0.49500000
1.86727214 -0.50500000
1.86500000 -0.51094350
1.86334435 -0.51500000
1.85939548 -0.52500000
1.85557046 -0.53500000
1.85500000 -0.53664477
1.85188102 -0.54500000
1.84851229 -0.55500000
1.84562292 -0.56500000
1.84500000 -0.56775325
1.84323418 -0.57500000
1.84155748 -0.58500000
1.84070033 -0.59500000
1.84074208 -0.60500000
1.84173853 -0.61500000
1.84372222 -0.62500000
nan nan
1.42500000 -0.42640377
1.42521895 -0.42500000
1.42675320 -0.41500000
1.42827493 -0.40500000
1.42980961 -0.39500000
1.43138955 -0.38500000
1.43303957 -0.37500000
1.43479268 -0.36500000
1.43500000 -0.36389820
1.43662671 -0.35500000
1.43859715 -0.34500000
1.44073106 -0.33500000
1.44305957 -0.32500000
1.44500000 -0.31736876
1.44558805 -0.31500000
1.44829636 -0.30500000
1.45126623 -0.29500000
1.45453237 -0.28500000
1.45500000 -0.28367615
1.45802256 -0.27500000
1.46183998 -0.26500000
1.46500000 -0.25742530
1.46600502 -0.25500000
1.47048169 -0.24500000
1.47500000 -0.23579487
1.47539083 -0.23500000
1.48065464 -0.22500000
1.48500000 -0.21743254
1.48641184 -0.21500000
1.49263298 -0.20500000
1.49500000 -0.20145167
1.49939645 -0.19500000
1.50500000 -0.18733939
1.50676026 -0.18500000
1.51479005 -0.17500000
1.51500000 -0.17475121
1.52354958 -0.16500000
1.52500000 -0.16343305
1.53318263 -0.15500000
1.53500000 -0.15321053
1.54380941 -0.14500000
1.54500000 -0.14393324
1.55500000 -0.13549699
1.55562775 -0.13500000
1.56500000 -0.12779714
1.56893956 -0.12500000
1.57500000 -0.12079008
1.58410200 -0.11500000
1.58500000 -0.11443805
1.59500000 -0.10862824
1.60191830 -0.10500000
1.60500000 -0.10339352
1.61500000 -0.09864282
1.62363724 -0.09500000
1.62500000 -0.09442290
1.63500000 -0.09059909
1.64500000 -0.08726169
1.65282659 -0.08500000
1.65500000 -0.08436163
1.66500000 -0.08181803
1.67500000 -0.07969923
1.68500000 -0.07798154
1.69500000 -0.07665339
1.70500000 -0.07570198
1.71500000 -0.07511846
1.72028571 -0.07500000
1.72500000 -0.07489006
1.73292000 -0.07500000
1.73500000 -0.07502785
1.74500000 -0.07552342
1.75500000 -0.07638077
1.76500000 -0.07760549
1.77500000 -0.07920401
1.78500000 -0.08119592
1.79500000 -0.08358742
