re im logsig
2.0050000000 -0.5650000000 -3.036930
2.0150000000 -0.5650000000 -3.025020
2.0250000000 -0.5650000000 -3.013170
1.4250000000 -0.5550000000 -3.029010
1.4350000000 -0.5550000000 -3.042770
1.4450000000 -0.5550000000 -3.056470
1.4550000000 -0.5550000000 -3.070090
1.4650000000 -0.5550000000 -3.083630
1.4750000000 -0.5550000000 -3.097070
1.4850000000 -0.5550000000 -3.110390
1.4950000000 -0.5550000000 -3.123570
1.5050000000 -0.5550000000 -3.136580
1.5150000000 -0.5550000000 -3.149410
1.5250000000 -0.5550000000 -3.162020
1.5350000000 -0.5550000000 -3.174380
1.5450000000 -0.5550000000 -3.186470
1.5550000000 -0.5550000000 -3.198240
1.5650000000 -0.5550000000 -3.209650
1.5750000000 -0.5550000000 -3.220670
1.5850000000 -0.5550000000 -3.231240
1.5950000000 -0.5550000000 -3.241310
1.6050000000 -0.5550000000 -3.250840
1.6150000000 -0.5550000000 -3.259760
1.6250000000 -0.5550000000 -3.268030
1.6350000000 -0.5550000000 -3.275590
1.6450000000 -0.5550000000 -3.282370
1.6550000000 -0.5550000000 -3.288330
1.6650000000 -0.5550000000 -3.293420
1.6750000000 -0.5550000000 -3.297580
1.6850000000 -0.5550000000 -3.300780
1.6950000000 -0.5550000000 -3.302990
1.7050000000 -0.5550000000 -3.304180
1.7150000000 -0.5550000000 -3.304350
1.7250000000 -0.5550000000 -3.303480
1.7350000000 -0.5550000000 -3.301590
1.7450000000 -0.5550000000 -3.298700
1.7550000000 -0.5550000000 -3.294840
1.7650000000 -0.5550000000 -3.290050
1.7750000000 -0.5550000000 -3.284410
1.7850000000 -0.5550000000 -3.278000
1.7950000000 -0.5550000000 -3.270810
1.8050000000 -0.5550000000 -3.262890
1.8150000000 -0.5550000000 -3.254320
1.8250000000 -0.5550000000 -3.245160
1.8350000000 -0.5550000000 -3.235460
1.8450000000 -0.5550000000 -3.225290
1.8550000000 -0.5550000000 -3.214710
1.8650000000 -0.5550000000 -3.203780
1.8750000000 -0.5550000000 -3.192540
1.8850000000 -0.5550000000 -3.181040
1.8950000000 -0.5550000000 -3.169330
1.9050000000 -0.5550000000 -3.157450
1.9150000000 -0.5550000000 -3.145430
1.9250000000 -0.5550000000 -3.133310
1.9350000000 -0.5550000000 -3.121110
1.9450000000 -0.5550000000 -3.108870
1.9550000000 -0.5550000000 -3.096600
1.9650000000 -0.5550000000 -3.084330
1.9750000000 -0.5550000000 -3.072080
1.9850000000 -0.5550000000 -3.059850
1.9950000000 -0.5550000000 -3.047670
2.0050000000 -0.5550000000 -3.035540
2.0150000000 -0.5550000000 -3.023490
2.0250000000 -0.5550000000 -3.011500
1.4250000000 -0.5450000000 -3.022610
1.4350000000 -0.5450000000 -3.036610
1.4450000000 -0.5450000000 -3.050580
1.4550000000 -0.5450000000 -3.064500
1.4650000000 -0.5450000000 -3.078360
1.4750000000 -0.5450000000 -3.092140
1.4850000000 -0.5450000000 -3.105840
1.4950000000 -0.5450000000 -3.119410
1.5050000000 -0.5450000000 -3.132860
1.5150000000 -0.5450000000 -3.146140
1.5250000000 -0.5450000000 -3.159240
1.5350000000 -0.5450000000 -3.172130
1.5450000000 -0.5450000000 -3.184750
1.5550000000 -0.5450000000 -3.197090
1.5650000000 -0.5450000000 -3.209100
1.5750000000 -0.5450000000 -3.220730
1.5850000000 -0.5450000000 -3.231930
1.5950000000 -0.5450000000 -3.242640
1.6050000000 -0.5450000000 -3.252820
1.6150000000 -0.5450000000 -3.262390
1.6250000000 -0.5450000000 -3.271300
1.6350000000 -0.5450000000 -3.279470
1.6450000000 -0.5450000000 -3.286860
1.6550000000 -0.5450000000 -3.293380
1.6650000000 -0.5450000000 -3.298980
1.6750000000 -0.5450000000 -3.303610
1.6850000000 -0.5450000000 -3.307210
1.6950000000 -0.5450000000 -3.309760
1.7050000000 -0.5450000000 -3.311210
1.7150000000 -0.5450000000 -3.311550
1.7250000000 -0.5450000000 -3.310790
1.7350000000 -0.5450000000 -3.308920
1.7450000000 -0.5450000000 -3.305980
1.7550000000 -0.5450000000 -3.301990
1.7650000000 -0.5450000000 -3.297000
1.7750000000 -0.5450000000 -3.291060
1.7850000000 -0.5450000000 -3.284280
1.7950000000 -0.5450000000 -3.276740
1.8050000000 -0.5450000000 -3.268450
1.8150000000 -0.5450000000 -3.259470
1.8250000000 -0.5450000000 -3.249880
1.8350000000 -0.5450000000 -3.239750
1.8450000000 -0.5450000000 -3.229150
1.8550000000 -0.5450000000 -3.218140
1.8650000000 -0.5450000000 -3.206780
1.8750000000 -0.5450000000 -3.195120
1.8850000000 -0.5450000000 -3.183230
1.8950000000 -0.5450000000 -3.171130
1.9050000000 -0.5450000000 -3.158890
1.9150000000 -0.5450000000 -3.146520
1.9250000000 -0.5450000000 -3.134070
1.9350000000 -0.5450000000 -3.121570
1.9450000000 -0.5450000000 -3.109040
1.9550000000 -0.5450000000 -3.096510
1.9650000000 -0.5450000000 -3.083990
1.9750000000 -0.5450000000 -3.071510
1.9850000000 -0.5450000000 -3.059070
1.9950000000 -0.5450000000 -3.046690
2.0050000000 -0.5450000000 -3.034390
2.0150000000 -0.5450000000 -3.022170
2.0250000000 -0.5450000000 -3.010030
1.4250000000 -0.5350000000 -3.016750
1.4350000000 -0.5350000000 -3.031000
1.4450000000 -0.5350000000 -3.045240
1.4550000000 -0.5350000000 -3.059460
1.4650000000 -0.5350000000 -3.073660
1.4750000000 -0.5350000000 -3.087800
1.4850000000 -0.5350000000 -3.101880
1.4950000000 -0.5350000000 -3.115880
1.5050000000 -0.5350000000 -3.129780
1.5150000000 -0.5350000000 -3.143550
1.5250000000 -0.5350000000 -3.157160
1.5350000000 -0.5350000000 -3.170590
1.5450000000 -0.5350000000 -3.183800
1.5550000000 -0.5350000000 -3.196740
1.5650000000 -0.5350000000 -3.209390
1.5750000000 -0.5350000000 -3.221680
1.5850000000 -0.5350000000 -3.233560
1.5950000000 -0.5350000000 -3.244970
1.6050000000 -0.5350000000 -3.255850
1.6150000000 -0.5350000000 -3.266130
1.6250000000 -0.5350000000 -3.275730
1.6350000000 -0.5350000000 -3.284590
1.6450000000 -0.5350000000 -3.292630
1.6550000000 -0.5350000000 -3.299770
1.6650000000 -0.5350000000 -3.305940
1.6750000000 -0.5350000000 -3.311080
1.6850000000 -0.5350000000 -3.315120
1.6950000000 -0.5350000000 -3.318020
1.7050000000 -0.5350000000 -3.319750
1.7150000000 -0.5350000000 -3.320280
1.7250000000 -0.5350000000 -3.319600
1.7350000000 -0.5350000000 -3.317730
1.7450000000 -0.5350000000 -3.314690
1.7550000000 -0.5350000000 -3.310520
1.7650000000 -0.5350000000 -3.305270
1.7750000000 -0.5350000000 -3.299020
